1,71.42,,,
2,71.95,,,
3,71.75,,,
4,71.81,,,
5,73.3,,,
6,71.87,,,
7,73.46,,,
8,71.72,,,
9,71.75,,,
10,71.76,,,
11,71.92,,,
12,72.17,,,
13,71.81,,,
14,71.79,,,
15,68.45,,,
16,69.88,,,
17,72.25,,,
18,71.64,,,
19,71.79,,,
20,74.33,,,
21,71.78,,,
22,71.87,,,
23,71.88,,,
24,71.75,,,
25,72.29,,,
26,71.68,,,
27,71.94,,,
28,71.86,,,
29,71.9,,,
30,71.73,,,
31,71.55,,,
32,71.94,,,
33,71.87,,,
34,68.66,,,
35,72.2,,,
36,71.82,,,
37,71.77,,,
38,71.75,,,
39,71.87,,,
40,74.74,,,
41,73.05,,,
42,71.83,,,
43,73.17,,,
44,71.74,,,
45,67.56,,,
46,71.78,,,
47,72.24,,,
48,72.84,,,
49,71.86,,,
50,71.7,,,
51,71.87,,,
52,71.8,,,
53,71.8,,,
54,71.83,,,
55,71.94,,,
56,74.76,,,
57,71.82,,,
58,71.74,,,
59,71.84,,,
60,70.13,,,
61,71.74,,,
62,71.81,,,
63,71.83,,,
64,71.8,,,
65,71.89,,,
66,71.88,,,
67,71.84,,,
68,71.8,,,
69,71.8,,,
70,71.93,,,
71,73.52,,,
72,71.77,,,
73,71.73,,,
74,71.82,,,
75,72.38,,,
76,71.75,,,742716
77,70.9,,,
78,76.09,,,
79,69.41,,,
80,79.2,,,
81,75.78,,,
82,71.66,,,
83,71.75,,,
84,71.78,,,
85,71.83,,,
86,71.85,,,
87,73.9,,,
88,71.77,,,
89,71.86,,,
90,73.49,,,
,6483.53,,,
,72.03922222,,,
